页面,功能点,功能描述,子任务/技术要点,优先级,验收标准
广告主工作台,消息中心Tab,消息管理Tab,"1. 消息列表展示<br>2. 消息状态（已读/未读）<br>3. 消息类型图标<br>4. 标记已读/删除<br>5. 后端接口：GET /api/messages",P1,消息列表正确展示；标记已读功能正常
广告主工作台,财务管理Tab,财务管理Tab,"1. 账户余额展示<br>2. 交易记录列表<br>3. 充值按钮<br>4. 提现按钮<br>5. 后端接口：GET /api/users/transactions",P1,余额正确显示；交易记录完整；充值功能可用
广告主工作台,广告主工作台埋点,用户行为埋点,"1. Tab切换埋点<br>2. 订单操作埋点<br>3. 投标审核埋点<br>4. 发布任务点击埋点",P1,记录操作行为
创作者工作台,页面布局,工作台布局结构,"1. 左侧导航栏<br>2. 顶部用户信息区<br>3. 主内容区<br>4. 响应式布局",P0,布局清晰；响应式适配
创作者工作台,用户信息区,顶部用户信息,"1. 用户头像<br>2. 用户名称<br>3. 等级徽章（青铜/白银/黄金/铂金）<br>4. 完成订单数<br>5. 评分<br>6. 设置入口<br>7. 退出登录按钮<br>8. 后端接口：GET /api/users/me、GET /api/creators/level",P0,用户信息正确显示；等级徽章根据订单数显示
创作者工作台,导航菜单,左侧Tab导航,"1. 4个Tab：我的任务、作品集、消息中心、收入管理<br>2. Tab图标+文案<br>3. 选中状态高亮<br>4. 徽章提示（未读数量）<br>5. 切换动画",P0,Tab切换正常；徽章显示未读数；选中状态高亮
创作者工作台,我的任务Tab,任务管理Tab,"1. 任务列表展示<br>2. 任务卡片组件<br>3. 后端接口：GET /api/bids/my-bids",P0,任务列表正确展示
创作者工作台,任务状态筛选,任务状态筛选,"1. 筛选条件：全部、待上传视频、待审核、待交付、已完成、审核未通过、订单冻结<br>2. Tab或下拉筛选<br>3. 选中状态",P0,筛选功能正常；选中状态高亮
创作者工作台,任务状态标签,任务状态Badge,"1. 待上传视频-灰色<br>2. 待审核-蓝色<br>3. 待交付-黄色<br>4. 已完成-绿色<br>5. 审核未通过-红色<br>6. 订单冻结-灰色",P0,状态颜色正确；文案准确
创作者工作台,上传视频,上传3个视频,"1. ""上传视频""按钮<br>2. 3个视频上传区：高光时刻（5-10秒）、水印版、高清完整版<br>3. 文件类型限制（MP4/MOV/AVI/MKV）<br>4. 文件大小限制<br>5. 上传进度显示<br>6. 视频预览<br>7. 后端接口：POST /api/bids/:id/videos",P0,3个视频都必填；文件类型验证；上传进度显示
创作者工作台,视频时长校验,高光视频时长验证,"1. 高光视频时长验证（5-10秒）<br>2. 不符合时提示：""高光视频时长应为5-10秒""<br>3. 后端或前端验证",P0,时长不符时提示错误；阻止提交
创作者工作台,重新上传,重新上传视频,"1. ""重新上传""按钮（待交付/审核未通过状态）<br>2. 覆盖已上传视频<br>3. 确认弹窗<br>4. 后端接口：PUT /api/bids/:id/videos",P0,重新上传功能正常；覆盖后视频更新
创作者工作台,查看修改意见,查看广告主修改意见,"1. 修改意见展示<br>2. 修改时间戳<br>3. 已读/未读状态<br>4. 后端接口：GET /api/bids/:id/feedback",P0,修改意见正确显示；未读时高亮
创作者工作台,作品集Tab,作品集管理Tab,"1. 作品列表展示<br>2. 作品卡片组件<br>3. 上传作品按钮<br>4. 后端接口：GET /api/works/my-works",P1,作品列表正确展示；上传按钮可用
创作者工作台,上传作品,上传作品到作品集,"1. 上传作品弹窗/页面<br>2. 视频上传<br>3. 作品标题输入<br>4. 作品描述输入<br>5. 作品标签<br>6. 后端接口：POST /api/works",P1,上传功能正常；作品信息完整
创作者工作台,编辑作品,编辑已上传作品,"1. 编辑按钮<br>2. 编辑弹窗/页面<br>3. 修改标题/描述/标签<br>4. 后端接口：PUT /api/works/:id",P1,编辑功能正常；保存后更新
创作者工作台,删除作品,删除已上传作品,"1. 删除按钮<br>2. 确认弹窗<br>3. 后端接口：DELETE /api/works/:id",P1,删除功能正常；确认后移除
创作者工作台,置顶作品,置顶作品展示,"1. 置顶按钮<br>2. 最多置顶4个<br>3. 超过限制时提示：""最多只能置顶4个作品""<br>4. 取消置顶功能<br>5. 后端接口：PUT /api/works/:id/pin",P1,置顶功能正常；超过4个时提示
创作者工作台,消息中心Tab,消息管理Tab,"1. 消息列表展示<br>2. 消息状态（已读/未读）<br>3. 消息类型图标<br>4. 标记已读/删除<br>5. 后端接口：GET /api/messages",P1,消息列表正确展示；标记已读功能正常
创作者工作台,收入管理Tab,收入管理Tab,"1. 收入统计卡片（总收入、可提现、冻结中）<br>2. 交易记录列表<br>3. 提现按钮<br>4. 提现规则说明<br>5. 后端接口：GET /api/creators/earnings",P1,收入统计正确；交易记录完整；提现功能可用
创作者工作台,创作者工作台埋点,用户行为埋点,"1. Tab切换埋点<br>2. 视频上传埋点<br>3. 重新上传埋点<br>4. 作品集操作埋点<br>5. 提现操作埋点",P1,记录操作行为
创作者个人信息补充,引导弹窗,首次登录引导弹窗,"1. 弹窗标题：""欢迎加入瑞豆！请先完善个人信息""<br>2. 说明：""完善个人信息后，您就可以开始接单啦""<br>3. ""立即完善""按钮<br>4. ""稍后再说""按钮<br>5. 点击""立即完善""跳转完善流程<br>6. 点击""稍后再说""进入任务大厅",P0,首次登录时弹出；按钮功能正常
创作者个人信息补充,强制完善检查,接单前强制检查,"1. 点击""立即抢单""时检查isProfileComplete<br>2. 未完善时强制提示弹窗<br>3. 提示：""接单前请先完善个人信息，这样才能让广告主更好地了解您""<br>4. 只有""立即完善""按钮<br>5. 强制跳转完善页面",P0,未完善时点击抢单弹出强制提示；点击后跳转完善页
创作者个人信息补充,步骤1-技能选择,选择擅长技能,"1. 页面标题：""请告诉我们你最擅长的技能""<br>2. 技能分类列表（网站IT、写作、设计、数据分析、销售等）<br>3. 多选复选框<br>4. 每个技能显示职位数量<br>5. 底部提示：""20项技能中仅选出1项  已选择X项技能""<br>6. 验证：至少选择1项<br>7. ""下一步""按钮<br>8. ""上一步""按钮（隐藏）",P0,技能列表正确展示；多选功能正常；至少选择1项才能下一步；底部提示实时更新
创作者个人信息补充,步骤2-姓名填写,填写姓和名,"1. 页面标题：""你叫什么名字？""<br>2. ""名""(First Name)输入框[必填]<br>3. ""姓""(Last Name)输入框[必填]<br>4. 验证：1-50个字符<br>5. 示例提示<br>6. ""上一步""/""下一步""按钮",P0,输入框正常；姓和名都必填；验证规则生效
创作者个人信息补充,步骤3-自我描述,填写职位和自我描述,"1. 页面标题：""请简单介绍一下你自己""<br>2. ""你做什么工作？""输入框[必填，最多100字]<br>3. ""请描述一下你自己""输入框[必填，最多500字]<br>4. 字数统计<br>5. 示例提示<br>6. ""上一步""/""下一步""按钮",P0,输入框正常；字数统计实时更新；验证规则生效
创作者个人信息补充,步骤4-语言与生日,选择语言和出生日期,"1. 页面标题：""基本信息""<br>2. ""你会说哪些语言？""多选下拉框<br>3. 选项：中文、英语、日语、韩语等<br>4. 默认：已勾选""中文""[必填，至少一项]<br>5. ""你什么时候出生？""日期选择器<br>6. 验证：必须年满16周岁<br>7. 错误提示：""您必须年满16周岁才能使用瑞豆平台""<br>8. ""上一步""/""完成""按钮",P0,语言多选正常；日期选择正常；年龄验证生效
创作者个人信息补充,步骤进度指示,显示当前步骤,"1. 进度条组件<br>2. 显示当前步骤（1/4、2/4等）<br>3. 已完成步骤高亮<br>4. 当前步骤激活<br>5. 未完成步骤灰色",P1,进度条正确显示；步骤切换时更新
创作者个人信息补充,提交个人信息,提交完善信息,"1. 前端验证所有必填字段<br>2. 提交到后端保存<br>3. 创建/更新CreatorProfile记录<br>4. 设置isProfileComplete=true<br>5. 记录completedAt时间<br>6. 成功提示：""个人信息已完善，现在可以去接单啦！""<br>7. 自动跳转到任务大厅<br>8. 后端接口：POST /api/creators/profile",P0,所有验证通过后提交；成功后显示提示；自动跳转任务大厅
创作者个人信息补充,数据暂存,每步数据暂存,"1. 每步数据暂存到localStorage<br>2. 下次打开时恢复<br>3. 提交后清除暂存<br>4. 返回时恢复暂存数据",P1,每步自动暂存；下次打开恢复
创作者个人信息补充,个人信息埋点,完善流程埋点,"1. 开始完善时间<br>2. 完成时间<br>3. 每步停留时长<br>4. 选择的技能<br>5. 完成率统计",P1,记录完善流程数据
创作者列表,页面标题,顶部标题区,"1. 主标题：""创作者列表""<br>2. 副标题：""发现优质创作者，找到合适的合作伙伴""",P0,标题正确显示
创作者列表,等级筛选,创作者等级筛选,"1. 筛选条件：全部、青铜创作者、白银创作者、黄金创作者、铂金创作者<br>2. Chip或Tab筛选<br>3. 选中状态<br>4. 后端接口：GET /api/creators?level=xxx",P0,筛选功能正常；选中状态高亮
创作者列表,行业筛选,创作者擅长行业筛选,"1. 下拉选择或Tag筛选<br>2. 行业列表<br>3. 多选支持<br>4. 后端接口联调",P0,筛选功能正常；多选支持
创作者列表,平台筛选,创作者擅长平台筛选,"1. 下拉选择或Tag筛选<br>2. 平台列表：抖音、快手、小红书等<br>3. 多选支持<br>4. 后端接口联调",P0,筛选功能正常；多选支持
创作者列表,排序方式,创作者排序功能,"1. 下拉选择<br>2. 选项：评分最高、完成订单最多、最新加入<br>3. 后端接口：GET /api/creators?sort=xxx",P0,排序功能正常；切换后列表更新
创作者列表,搜索框,创作者关键词搜索,"1. 搜索输入框<br>2. placeholder: ""搜索创作者""<br>3. 回车触发搜索<br>4. 后端接口：GET /api/creators?q=xxx",P0,搜索功能正常；回车触发
创作者列表,创作者卡片,创作者信息卡片,"1. 头像（圆形）<br>2. 创作者名称<br>3. 一句话简介<br>4. 等级徽章<br>5. 评分星星<br>6. 完成订单数<br>7. ""查看详情""按钮<br>8. 点击跳转详情页<br>9. 后端接口数据联调",P0,卡片信息完整；点击跳转详情页
创作者列表,创作者卡片网格,卡片网格布局,"1. 4列网格（桌面端）<br>2. 3列（小屏幕）<br>3. 2列（平板）<br>4. 1列（手机）<br>5. 间距设置",P0,响应式网格布局；不同屏幕正确显示列数
创作者列表,分页器,分页组件,"1. 上一页/下一页按钮<br>2. 页码展示<br>3. 当前页高亮<br>4. 后端接口：GET /api/creators?page=1&limit=20",P0,分页切换正常；页码正确更新
创作者列表,空状态,无创作者时展示,"1. 空状态插图<br>2. 提示文案",P0,无创作者时显示空状态图
创作者列表,创作者列表埋点,用户行为埋点,"1. 筛选条件使用埋点<br>2. 排序方式使用埋点<br>3. 搜索关键词埋点<br>4. 创作者卡片点击埋点",P1,记录用户行为
创作者详情,面包屑导航,页面导航路径,"1. 首页 → 创作者列表 → 创作者名称<br>2. 首页可点击<br>3. 创作者列表可点击<br>4. 创作者名称不可点击",P0,面包屑正确显示；点击正确跳转
创作者详情,创作者头部,创作者基础信息,"1. 头像（大尺寸圆形）<br>2. 创作者名称<br>3. 一句话简介<br>4. 所在地：中国·广州<br>5. 加入时间：自2021年加入<br>6. 后端接口数据联调",P0,所有信息正确显示
创作者详情,关键指标,创作者统计信息,"1. 总体评分：4.9<br>2. 评价数量：共256条素材服务评价<br>3. 完成素材任务数：完成500+素材任务<br>4. 后端接口数据联调",P0,所有指标正确显示
创作者详情,等级徽章,创作者等级展示,"1. 等级徽章：青铜/白银/黄金/铂金<br>2. 徽章颜色：<br>   - 青铜：#cd7f32<br>   - 白银：#c0c0c0<br>   - 黄金：#ffd700<br>   - 铂金：#e5e4e2<br>3. 根据完成订单数自动计算<br>4. 后端接口数据联调",P0,等级徽章正确显示；根据订单数计算
创作者详情,关于我,创作者详细简介,"1. 区块标题：""关于我""<br>2. 富文本内容<br>3. 团队背景、擅长行业与平台<br>4. 常用创作手法<br>5. 后端接口数据联调",P0,简介内容正确显示；富文本正常渲染
创作者详情,技能,创作者技能标签,"1. 区块标题：""技能""<br>2. 技能标签列表（Chips）<br>3. 后端接口数据联调",P0,技能标签正确显示
创作者详情,我的客户,合作客户展示,"1. 区块标题：""我的客户""<br>2. 客户logo/名称列表<br>3. 后端接口数据联调",P1,客户信息正确显示
创作者详情,创作者任务列表,创作者在售任务,"1. 区块标题：""我的素材任务""<br>2. 任务卡片网格<br>3. 任务信息：标题、平台、价格、评分等<br>4. 点击跳转任务详情<br>5. 后端接口：GET /api/creators/:id/orders",P0,任务列表正确显示；点击跳转详情页
创作者详情,客户评价,来自客户的评价,"1. 区块标题：""来自客户的评价""<br>2. 评价列表<br>3. 评价星级<br>4. 评价内容<br>5. 评价时间<br>6. 后端接口：GET /api/creators/:id/reviews",P1,评价列表正确显示；星级正确渲染
创作者详情,联系按钮,联系创作者按钮,"1. ""联系创作者""按钮<br>2. 点击发起对话或跳转消息中心<br>3. 或打开站内信对话窗口",P1,点击后发起对话
创作者详情,收藏按钮,收藏创作者功能,"1. 收藏按钮（心形图标）<br>2. 收藏/取消收藏<br>3. 收藏状态高亮<br>4. 后端接口：POST /api/creators/:id/favorite",P1,收藏功能正常；状态正确更新
创作者详情,创作者详情埋点,用户行为埋点,"1. 页面访问埋点<br>2. 收藏点击埋点<br>3. 联系点击埋点<br>4. 任务点击埋点",P1,记录用户行为
消息中心,页面布局,消息中心布局,"1. 消息列表区<br>2. 消息详情区（可选，右侧或弹窗）<br>3. 筛选工具条<br>4. 响应式布局",P1,布局清晰；响应式适配
消息中心,消息筛选,消息状态筛选,"1. 筛选条件：全部、未读、已读<br>2. Tab筛选<br>3. 选中状态<br>4. 后端接口：GET /api/messages?status=unread",P1,筛选功能正常；选中状态高亮
消息中心,消息类型筛选,消息类型筛选,"1. 筛选条件：全部、系统通知、投标通知、审核通知、修改通知、付款通知<br>2. 下拉或Tag筛选<br>3. 后端接口：GET /api/messages?type=xxx",P1,筛选功能正常
消息中心,消息列表,消息列表展示,"1. 消息卡片组件<br>2. 消息类型图标<br>3. 消息标题+内容预览<br>4. 发送时间<br>5. 已读/未读状态标识<br>6. 点击标记已读<br>7. 后端接口：GET /api/messages",P1,消息列表正确展示；未读消息高亮；点击标记已读
消息中心,消息详情,查看消息详情,"1. 点击消息展开详情<br>2. 完整消息内容<br>3. 相关操作按钮（跳转相关页面）<br>4. 关闭按钮",P1,点击展开详情；相关操作按钮可用
消息中心,批量操作,批量标记已读/删除,"1. ""全部标记已读""按钮<br>2. 批量删除按钮<br>3. 选择框（可选）<br>4. 确认弹窗<br>5. 后端接口：PUT /api/messages/read-all、DELETE /api/messages/batch",P1,批量操作功能正常；确认弹窗显示
消息中心,删除消息,删除单条消息,"1. 删除按钮<br>2. 确认弹窗<br>3. 后端接口：DELETE /api/messages/:id",P1,删除功能正常；确认后移除
消息中心,空状态,无消息时展示,"1. 空状态插图<br>2. 提示文案：""暂无消息""",P1,无消息时显示空状态图
消息中心,消息中心埋点,用户行为埋点,"1. 消息点击埋点<br>2. 消息已读埋点<br>3. 消息删除埋点",P1,记录用户行为
视频审核,页面布局,全屏审核页面布局,"1. 全屏布局（无Navbar和Footer）<br>2. 视频播放器（大尺寸居中）<br>3. 视频切换Tab<br>4. 操作按钮区<br>5. 订单信息卡片<br>6. 返回按钮<br>7. 响应式布局",P0,全屏展示；视频居中
视频审核,视频播放器,HTML5视频播放器,"1. 播放/暂停控制<br>2. 音量控制<br>3. 全屏切换<br>4. 进度条拖拽<br>5. 播放速度调节（0.5x/1x/1.5x/2x）<br>6. 视频信息展示（时长、分辨率）",P0,所有控制功能正常；播放流畅
视频审核,视频切换Tab,3个视频切换,"1. 3个Tab：高光时刻、水印版、高清完整版<br>2. Tab切换<br>3. 选中状态样式<br>4. 高清版权限控制（交付后才可查看）<br>5. 无权限提示",P0,Tab切换视频；高清版未交付时提示
视频审核,订单信息,订单简要信息,"1. 订单标题<br>2. 广告主信息<br>3. 创作者信息<br>4. 任务参数<br>5. 后端接口：GET /api/bids/:id",P0,订单信息正确显示
视频审核,确认通过,审核通过操作,"1. ""确认通过""按钮<br>2. 余额检查（后端）<br>3. 扣除尾款<br>4. 生成授权书<br>5. 开放无水印视频下载<br>6. 确认弹窗<br>7. 后端接口：POST /api/bids/:id/approve",P0,点击后扣除尾款；余额不足时提示
视频审核,请求修改,要求修改操作,"1. ""修改""按钮<br>2. 修改意见输入框（最多500字）<br>3. 字数统计<br>4. 确认弹窗<br>5. 后端接口：POST /api/bids/:id/request-change",P0,修改意见输入正常；字数限制；提交成功后状态更新
视频审核,订单冻结,冻结订单操作,"1. ""订单冻结""按钮<br>2. 冻结原因输入框（必填）<br>3. 确认弹窗<br>4. 后端接口：POST /api/bids/:id/freeze",P0,冻结原因必填；提交成功后状态更新
视频审核,返回按钮,返回上一页,"1. ""返回""按钮<br>2. 点击返回工作台",P0,点击后返回工作台
视频审核,键盘快捷键,快捷键控制,"1. 空格键：播放/暂停<br>2. ESC键：退出全屏<br>3. 左右方向键：快进/快退",P1,快捷键功能正常
视频审核,视频加载优化,视频加载优化,"1. 视频预加载<br>2. 加载状态展示<br>3. 加载失败提示<br>4. 重试按钮",P1,视频快速加载；加载失败时提示
视频审核,视频审核埋点,用户行为埋点,"1. 页面访问埋点<br>2. 视频播放时长埋点<br>3. 审核操作埋点<br>4. 视频切换埋点",P1,记录用户行为
用户仪表盘,页面布局,个人中心布局,"1. 用户信息头部<br>2. 功能菜单列表<br>3. 响应式布局",P1,布局清晰；响应式适配
用户仪表盘,用户信息,用户信息展示,"1. 用户头像<br>2. 用户名称<br>3. 角色标识<br>4. 账户余额<br>5. 后端接口：GET /api/users/me",P1,用户信息正确显示
用户仪表盘,功能菜单,功能菜单列表,"1. 个人信息<br>2. 账户设置<br>3. 消息通知<br>4. 帮助中心<br>5. 退出登录",P1,菜单列表正确显示；点击可跳转
用户仪表盘,个人信息编辑,编辑个人信息,"1. 编辑按钮<br>2. 编辑弹窗/页面<br>3. 头像上传<br>4. 昵称输入<br>5. 邮箱输入<br>6. 后端接口：PUT /api/users/me",P1,编辑功能正常；保存后更新
用户仪表盘,账户设置,账户设置功能,"1. 密码修改<br>2. 手机号绑定<br>3. 第三方账号绑定",P1,设置功能可用
用户仪表盘,消息通知设置,通知偏好设置,"1. 消息通知开关<br>2. 邮件通知开关<br>3. 短信通知开关<br>4. 后端接口：PUT /api/users/settings",P1,设置功能正常；保存后生效
使用说明,页面布局,帮助页面布局,"1. 标题区<br>2. 内容区<br>3. 侧边导航（可选）",P1,布局清晰
使用说明,内容展示,平台使用说明,"1. 富文本内容<br>2. 平台介绍<br>3. 使用流程<br>4. 常见问题<br>5. 视频教程（可选）",P1,内容正确展示；富文本正常渲染
使用说明,导航菜单,内容章节导航,"1. 章节列表<br>2. 点击跳转到对应章节<br>3. 当前章节高亮",P1,导航功能正常；点击跳转正确
广告主认证,页面布局,认证页面布局,"1. 认证表单区<br>2. 认证说明区<br>3. 步骤指示器",P0,布局清晰
广告主认证,企业信息,企业信息填写,"1. 企业名称输入<br>2. 统一社会信用代码输入<br>3. 企业地址输入<br>4. 联系人姓名输入<br>5. 联系电话输入<br>6. 表单验证",P0,输入框正常；验证规则生效
广告主认证,资质上传,上传资质文件,"1. 营业执照上传<br>2. 其他资质文件上传<br>3. 文件类型限制（图片/PDF）<br>4. 文件大小限制<br>5. 上传进度显示<br>6. 预览功能<br>7. 后端接口：POST /api/upload",P0,上传功能正常；预览可用
广告主认证,提交认证,提交认证审核,"1. ""提交认证""按钮<br>2. 表单验证<br>3. 提交到后端<br>4. 认证状态变更为""审核中""<br>5. 成功提示<br>6. 后端接口：POST /api/advertisers/certification",P0,提交功能正常；验证通过后提交
广告主认证,认证状态,认证状态展示,"1. 未认证、审核中、已通过、已驳回<br>2. 状态图标和颜色<br>3. 驳回原因展示<br>4. 重新认证按钮（已驳回）",P0,状态正确显示；驳回原因清晰
广告主认证,认证说明,认证说明文档,"1. 认证流程说明<br>2. 认证所需材料<br>3. 认证审核时间<br>4. 认证权益说明",P1,说明文档完整清晰
管理员登录,管理员登录表单,管理员登录界面,"1. 用户名输入框<br>2. 密码输入框<br>3. ""登录""按钮<br>4. 表单验证<br>5. 后端接口：POST /api/admin/login",P0,登录功能正常；验证生效
管理员登录,登录成功跳转,登录后跳转,"1. 跳转到/admin<br>2. 存储admin token",P0,登录成功后跳转数据概览页
管理后台-数据概览,统计卡片,平台核心数据统计,"1. 总订单数<br>2. 总用户数（广告主）<br>3. 总创作者数<br>4. 总交易额<br>5. 后端接口：GET /api/admin/stats",P0,统计数据正确；实时更新
管理后台-数据概览,订单趋势图,订单数据趋势,"1. 折线图或柱状图<br>2. 时间范围筛选（7天/30天/90天）<br>3. 数据更新<br>4. 后端接口：GET /api/admin/stats/orders-trend",P0,图表正常渲染；数据准确
管理后台-数据概览,用户增长图,用户数据增长,"1. 折线图<br>2. 时间范围筛选<br>3. 数据更新<br>4. 后端接口：GET /api/admin/stats/users-growth",P0,图表正常渲染；数据准确
管理后台-订单管理,订单列表,所有订单列表,"1. 表格展示<br>2. 筛选条件（状态/平台/时间范围）<br>3. 搜索功能<br>4. 分页<br>5. 后端接口：GET /api/admin/orders",P0,订单列表正确展示；筛选功能正常
管理后台-订单管理,订单详情,订单详情查看,"1. 详情按钮/弹窗<br>2. 订单完整信息<br>3. 后端接口：GET /api/admin/orders/:id",P0,详情信息完整
管理后台-订单管理,审核操作,订单审核操作,"1. ""审核通过""按钮<br>2. ""审核驳回""按钮<br>3. 驳回原因输入<br>4. 确认弹窗<br>5. 后端接口：PUT /api/admin/orders/:id/review",P0,审核操作正常；驳回原因必填
管理后台-用户管理,用户列表,广告主用户列表,"1. 表格展示<br>2. 筛选条件（状态/注册时间）<br>3. 搜索功能<br>4. 分页<br>5. 后端接口：GET /api/admin/users",P0,用户列表正确展示；筛选功能正常
管理后台-用户管理,用户详情,用户详情查看,"1. 详情按钮/弹窗<br>2. 用户完整信息<br>3. 订单历史<br>4. 后端接口：GET /api/admin/users/:id",P0,详情信息完整
管理后台-用户管理,用户状态管理,启用/禁用用户,"1. ""启用""/""禁用""按钮<br>2. 确认弹窗<br>3. 后端接口：PUT /api/admin/users/:id/status",P0,状态管理正常
管理后台-创作者管理,创作者列表,创作者用户列表,"1. 表格展示<br>2. 筛选条件（等级/状态/注册时间）<br>3. 搜索功能<br>4. 分页<br>5. 后端接口：GET /api/admin/creators",P0,创作者列表正确展示；筛选功能正常
管理后台-创作者管理,创作者详情,创作者详情查看,"1. 详情按钮/弹窗<br>2. 创作者完整信息<br>3. 订单历史<br>4. 后端接口：GET /api/admin/creators/:id",P0,详情信息完整
管理后台-创作者管理,等级管理,创作者等级设置,"1. 等级设置按钮<br>2. 手动调整等级<br>3. 确认弹窗<br>4. 后端接口：PUT /api/admin/creators/:id/level",P0,等级设置正常
管理后台-审核管理,待审核列表,待审核订单列表,"1. 表格展示<br>2. 筛选条件<br>3. 搜索功能<br>4. 分页<br>5. 后端接口：GET /api/admin/reviews",P0,待审核列表正确展示
管理后台-审核管理,订单审核,审核订单,"1. 订单详情查看<br>2. ""审核通过""按钮<br>3. ""审核驳回""按钮<br>4. 驳回原因输入<br>5. 确认弹窗<br>6. 后端接口：PUT /api/admin/reviews/:id/approve",P0,审核功能正常；驳回原因必填
管理后台-内容管理,内容列表,待审核内容列表,"1. 表格展示<br>2. 筛选条件<br>3. 搜索功能<br>4. 分页<br>5. 后端接口：GET /api/admin/content",P1,内容列表正确展示
管理后台-内容管理,内容审核,审核内容,"1. 内容详情查看<br>2. 视频播放<br>3. ""审核通过""按钮<br>4. ""审核驳回""按钮<br>5. 驳回原因输入<br>6. 后端接口：PUT /api/admin/content/:id/review",P1,审核功能正常；视频可播放
管理后台-系统设置,设置表单,平台配置设置,"1. 平台名称<br>2. 平台Logo上传<br>3. 联系方式<br>4. 备案信息<br>5. 保存按钮<br>6. 后端接口：GET /api/admin/settings、PUT /api/admin/settings",P1,设置表单正常；保存成功后生效
管理后台-系统设置,支付配置,支付方式配置,"1. 支付方式配置<br>2. 支付参数设置<br>3. 保存按钮<br>4. 后端接口：PUT /api/admin/settings/payment",P1,配置保存正常
管理后台-系统设置,消息模板,消息模板配置,"1. 系统消息模板<br>2. 邮件模板<br>3. 短信模板<br>4. 保存按钮<br>5. 后端接口：PUT /api/admin/settings/messages",P1,模板配置保存正常
管理后台-数据导出,数据导出功能,导出订单/用户数据,"1. ""导出订单""按钮<br>2. ""导出用户""按钮<br>3. 时间范围选择<br>4. 导出进度显示<br>5. 下载链接<br>6. 后端接口：GET /api/admin/export/orders、GET /api/admin/export/users",P1,导出功能正常；Excel格式正确
